Title,season,rider_name,rounds_wildcard
Wildcards,2019, 'Stefan Bradl',4
Wildcards,2019, 'Sylvain Guintoli',"7, 10, 16"
Wildcards,2013, 'Katsuyuki Nakasuga',17
Wildcards,2013, 'Blake Young (motorcyclist)',"2, 9–10"
Wildcards,2013, 'Michael Barnes (motorcyclist)',2
Wildcards,2013, 'Martin Bauer (motorcyclist)',"11, 18"
Wildcards,2014, 'Randy de Puniet',18
Wildcards,2014, 'Katsuyuki Nakasuga',15
Wildcards,2015, 'Takumi Takahashi',15
Wildcards,2015, 'Katsuyuki Nakasuga',15
Wildcards,2016, 'Mika Kallio',18
Wildcards,2016, 'Katsuyuki Nakasuga',15
Wildcards,2017, 'Mika Kallio',"9, 11, 14, 18"
Wildcards,2017, 'Katsuyuki Nakasuga',15
Wildcards,2018, 'Stefan Bradl',"10, 13"
Wildcards,2018, 'Mika Kallio',"4, 7, 9"
Wildcards,2018, 'Sylvain Guintoli',"7, 10, 16"
Wildcards,2018, 'Katsuyuki Nakasuga',16
Wildcards,2011, 'Luca Gruenwald',"7, 9, 11"
Wildcards,2011, 'Toni Finsterbusch',9
Wildcards,2011, 'Tom Hatton (motorcyclist)',16
Wildcards,2011, 'Josh Hook',16
Wildcards,2011, 'Nicky Diles',16
Wildcards,2011, 'Alex Phillis',16
Wildcards,2011, 'Avalon Biddle',16
Wildcards,2005, 'Koki Takahashi',12
Wildcards,2005, 'Cheung Wai On',3
Wildcards,2004, 'Ben Ried (page does not exist)',15
Wildcards,2004, 'Ismael Ortega (motorcyclist) (page does not exist)',2
Wildcards,2004, 'Toshihisa Kuzuhara',14
Wildcards,2004, 'Václav Bittman (page does not exist)',10
Wildcards,2004, 'Michele Danese',4
Wildcards,2004, 'Georg Fröhlich',"2–3, 8–10"
Wildcards,2011, 'Bryan Schouten',7
Wildcards,2011, 'Ernst Dubbink',7
Wildcards,2011, 'Farid Badrul',17
Wildcards,2011, 'Jerry van de Bunt',7
Wildcards,2011, 'Marvin Fritz',9
Wildcards,2011, 'John McPhee (motorcyclist)',"5–6, 18"
Wildcards,2011, 'Jack Miller (motorcyclist)',9
Wildcards,2004, 'Patrick Unger',8
Wildcards,2004, 'Manuel Mickan (page does not exist)',8
Wildcards,2004, 'Manuel Hernández (motorcyclist)',"2, 5, 11, 16"
Wildcards,2004, 'Frank van den Dragt (page does not exist)',6
Wildcards,2004, 'Christian Elkin (page does not exist)',9
Wildcards,2011, 'Kevin Calia',"8, 13"
Wildcards,2011, 'Thomas van Leeuwen',7
Wildcards,2011, 'Felix Forstenhäusler',9
Wildcards,2011, 'Takehiro Yamamoto',15
Wildcards,2011, 'Jun Ohnishi',15
Wildcards,2011, 'Hyuga Watanabe',15
Wildcards,2011, 'Hikari Okubo',15
Wildcards,2004, 'Kris Weston (motorcyclist) (page does not exist)',9
Wildcards,2004, 'Stefano Bianco',4
Wildcards,2004, 'Brett Simmonds (page does not exist)',15
Wildcards,2004, 'Aleix Espargaró',16
Wildcards,2004, 'Michele Pirro',4
Wildcards,2004, 'Toshihisa Kuzuhara',12
Wildcards,2004, 'Shigeki Norikane (page does not exist)',12
Wildcards,2011, 'Jakub Jantulík',11
Wildcards,2011, 'Kevin Hanus',"2–3, 5, 14, 18"
Wildcards,2011, 'Massimo Parziani',"8, 13"
Wildcards,2011, 'Kévin Szalaï',4
Wildcards,2011, 'Kevin Thobois',4
Wildcards,2011, 'Miroslav Popov',"8, 11, 13"
Wildcards,2004, 'Suhathai Chaemsap (page does not exist)',12
Wildcards,2004, 'Fabricio Perrén',5
Wildcards,2004, 'Julián Miralles Rodríguez',"2–3, 8, 16"
Wildcards,2004, 'Enrique Jerez',"2, 5, 16"
Wildcards,2004, 'Jordi Planas (page does not exist)',5
Wildcards,2004, 'Vincent Braillard',11
Wildcards,2004, 'Alexis Masbou',3
Wildcards,2004, 'Yannick Deschamps',3
Wildcards,2004, 'Mathieu Gines (page does not exist)',3
Wildcards,2004, 'Alessio Aldrovandi (page does not exist)',4
Wildcards,2004, 'Lorenzo Zanetti',4
Wildcards,2004, 'Adri den Bekker (page does not exist)',6
Wildcards,2004, 'Mark van Kreij (page does not exist)',6
Wildcards,2004, 'Jarno van der Marel (page does not exist)',6
Wildcards,2004, 'Gert-Jan Kok',6
Wildcards,2004, 'Tommy Bridewell',9
Wildcards,2004, 'Eugene Laverty',9
Wildcards,2004, 'Patrik Vostárek',10
Wildcards,2004, 'Michael Ranseder',"10, 16"
Wildcards,2004, 'Tomoyoshi Koyama',"10, 12"
Wildcards,2004, 'Carlos Ferreira (motorcyclist) (page does not exist)',11
Wildcards,2004, 'Bryan Staring',15
Wildcards,2004, 'Malcolm Esler (page does not exist)',15
Wildcards,2004, 'Brent Rigoli (page does not exist)',15
Wildcards,2004, 'Yuki Hatano (page does not exist)',12
Wildcards,2021, 'Lorenzo Savadori',16
Wildcards,2021, 'Michele Pirro',"14, 16"
Wildcards,2021, 'Stefan Bradl',"4, 14"
Wildcards,2021, 'Dani Pedrosa',10
Wildcards,2022, 'Lorenzo Savadori',"5–6, 8, 11, 13"
Wildcards,2023, 'Lorenzo Savadori',"6, 8, 10"
Wildcards,2022, 'Michele Pirro',"8–9, 14"
Wildcards,2022, 'Stefan Bradl',6
Wildcards,2022, 'Tetsuta Nagashima',16
Wildcards,2023, 'Michele Pirro',"6, 12"
Wildcards,2023, 'Álvaro Bautista',18
Wildcards,2023, 'Stefan Bradl',"4, 12"
Wildcards,2023, 'Dani Pedrosa',"4, 12"
Wildcards,2023, 'Cal Crutchlow',14
